rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
34,2026-05-06,4967.TW,十銓,satellite,quality_value,298.0,3.11,-1.65,24.95,40.24,31558719,18108800,1.74,250.2,228.64,194.56,-1.65,19.1,9,5,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,6,疑似炒作風險高,高檔脫離型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",1,2,3,1,6.51,劇烈,X,1,0,0,UP
35,2026-05-06,3661.TW,世芯-KY,satellite,midlong_core,4565.0,10.0,14.13,14.55,68.76,2936285,2536372,1.16,3720.25,3360.5,3361.46,0.0,22.71,8,7,TREND,高風險追價區,有點過熱，別硬追,8,疑似炒作風險高,高檔脫離型,單日急拉、短線急漲、波段急漲,"單日急拉,短線急漲,波段急漲,20日飆漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",4,1,3,1,5.73,活潑,C,-4,-1,0,DOWN
36,2026-05-06,2383.TW,台光電,satellite,quality_value,4950.0,4.65,13.14,25.32,71.58,3491284,3192428,1.09,4057.5,2959.42,2244.17,0.0,22.0,8,7,TREND,高風險追價區,有點過熱，別硬追,7,疑似炒作風險高,高檔脫離型,短線急漲、波段急漲、20日飆漲,"短線急漲,波段急漲,20日飆漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",3,1,3,1,5.41,活潑,C,0,0,0,FLAT
37,2026-05-06,3044.TW,健鼎,satellite,quality_value,488.0,0.72,7.73,9.91,36.69,8142397,5887540,1.38,432.02,391.88,353.94,0.0,12.96,8,4,TREND,進攻優勢區,中段延續中,3,投機偏高,高檔無回檔型,波段急漲、震幅過大、乖離偏大,"波段急漲,震幅過大,乖離偏大,高檔無回檔",1,1,2,0,5.47,活潑,B,0,0,0,FLAT
38,2026-05-06,5299.TWO,杰力,satellite,quality_value,92.3,-0.97,5.13,9.75,17.13,332300,335795,0.99,85.07,78.85,75.85,-0.97,8.5,8,2,TREND,進攻優勢區,中段延續中,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,4.17,活潑,B,0,0,0,FLAT
39,2026-05-06,4953.TWO,緯軟,satellite,quality_value,123.5,1.23,2.07,0.41,7.39,936484,414741,2.26,120.25,116.93,122.07,-9.85,2.7,8,1,NONE,進攻優勢區,還在觀察,1,正常,正常,爆量、走勢與訊號不匹配,"爆量,走勢與訊號不匹配",0,1,0,1,2.81,標準,B,1,0,0,UP
40,2026-05-06,2412.TW,中華電,core,midlong_core,136.0,0.0,-0.73,-0.73,1.49,13230011,9976836,1.33,135.97,135.12,133.36,-1.45,0.02,8,1,NONE,進攻優勢區,還在觀察,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,1.13,穩健,B,1,0,0,UP
41,2026-05-06,3592.TW,瑞鼎,satellite,quality_value,235.5,-2.28,-1.67,-2.69,6.8,1877586,807807,2.32,235.47,226.93,225.22,-7.47,0.01,8,1,NONE,進攻優勢區,還在觀察,1,正常,正常,爆量、走勢與訊號不匹配,"爆量,走勢與訊號不匹配",0,1,0,1,4.19,活潑,B,2,0,0,UP
42,2026-05-06,4966.TWO,譜瑞-KY,satellite,quality_value,574.0,2.14,-2.38,6.89,20.84,1404132,2191039,0.64,558.35,523.43,562.73,-13.36,2.8,8,0,TREND,進攻優勢區,中段延續中,0,正常,正常,震幅過大,震幅過大,0,1,0,0,5.51,活潑,X,2,0,0,UP
43,2026-05-06,2312.TW,金寶,theme,short_attack,28.0,-0.36,-6.98,3.13,29.33,35093875,58878365,0.6,25.94,24.58,24.36,-20.9,7.96,8,0,"TREND,PULLBACK",進攻優勢區,中段延續中,1,正常,正常,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大",1,2,0,0,7.31,劇烈,X,2,0,0,UP
44,2026-05-06,3017.TW,奇鋐,theme,short_attack,2435.0,-9.98,-12.41,-5.07,19.95,9405471,4563128,2.06,2554.5,2055.0,1729.12,-17.32,-4.68,8,1,NONE,進攻優勢區,還在觀察,3,投機偏高,資金擁擠型,爆量、波動劇烈、震幅過大,"爆量,波動劇烈,震幅過大,走勢與訊號不匹配",0,3,0,1,7.79,劇烈,B,2,0,0,UP
45,2026-05-06,2303.TW,聯電,core,midlong_core,91.4,9.99,21.7,19.95,56.78,253983202,213690629,1.19,72.03,64.79,57.83,0.0,26.89,7,9,TREND,高風險追價區,有點過熱，別硬追,9,疑似炒作風險高,急拉爆量型,單日急拉、短線急漲、5日過熱,"單日急拉,短線急漲,5日過熱,波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",5,2,3,1,6.4,活潑,C,2,0,0,UP
46,2026-05-06,3711.TW,日月光投控,core,midlong_core,524.0,0.77,5.75,11.02,48.86,30251038,24369495,1.24,461.7,380.23,314.07,-0.19,13.49,7,4,TREND,偏強可追蹤,中段延續中,3,投機偏高,急拉追價型,波段急漲、20日飆漲、震幅過大,"波段急漲,20日飆漲,震幅過大,乖離偏大,高檔無回檔",2,1,2,0,5.33,活潑,B,10,1,0,UP
